Open,High,Low,Close,Adj Close,Volume,SMA_50,RSI,MACD,MACD_signal,MACD_hist,EMA_50,MFI,BB_upper,BB_middle,BB_lower,Target,ATR,RSI_7,RSI_21,Volume_MA_5,Volume_MA_10,Volume_MA_20
1.0823099613189695,1.109375,1.0178569555282593,1.020089030265808,0.8614397644996643,428579200,0.9882840204238892,47.01985171272009,0.0288795381856659,0.0360098883675751,-0.0071303501819092,0.9882840204238892,50.81615959304012,1.1627924554826827,1.0612514048814774,0.959710354280272,1,0.06546760723465853,38.10066486817863,49.29474831460223,305818240.0,372429120.0,366474080.0
1.0323660373687744,1.073660969734192,1.0189729928970337,1.0379459857940674,0.8765197396278381,443609600,0.9890541005134582,49.00691085603006,0.0238328345289844,0.033574477599857,-0.0097416430708725,0.9902315484776216,50.12652279850987,1.1620671884064528,1.0600237041711806,0.9579802199359084,1,0.06469763363483708,42.71083091782452,50.63774136886292,340294080.0,309089760.0,364367360.0
1.0474330186843872,1.089285969734192,1.0223209857940674,1.0853790044784546,0.9165759086608888,378100800,0.9924581003189088,53.94780952593562,0.0233910957240257,0.0315378012246907,-0.008146705500665,0.993962821261968,55.85936555633105,1.164142423203343,1.0633440047502518,0.9625455862971608,1,0.06485958722807189,53.4540135700815,54.03341331082961,360570560.0,315773920.0,364360080.0
1.072545051574707,1.1160709857940674,1.068079948425293,1.1160709857940674,0.9424943923950196,305043200,0.9962081003189088,56.8605266436706,0.0252268020561552,0.0302756013909836,-0.0050487993348284,0.9987513767338152,61.68145087686831,1.169602733534419,1.06786405146122,0.9661253693880208,0,0.06365469080955065,59.226109482660654,56.085844917351764,371857920.0,313941600.0,365137360.0
1.1026790142059326,1.1272319555282593,1.0926339626312256,1.098214030265808,0.9274148344993592,204489600,1.0012081015110017,54.69308404695736,0.0249530621083482,0.0292110935344565,-0.0042580314261083,1.002651872950756,60.63125381022335,1.16961386681481,1.0731095522642136,0.9766052377136172,1,0.06157921238722801,54.6278381341035,54.59660767608198,351964480.0,313334560.0,363689760.0
1.0943080186843872,1.2209819555282593,1.0859379768371582,1.2047990560531616,1.017422795295715,524328000,1.007536222934723,63.60963010880636,0.0329567372877372,0.0299602222851127,0.0029965150026245,1.010579213464576,55.79416939466963,1.1910651055394457,1.0825403541326524,0.974015602725859,1,0.06682669569464751,70.55000529177237,61.07436154625765,371114240.0,338466240.0,368791360.0
1.1855469942092896,1.2890629768371582,1.1746649742126465,1.2873879671096802,1.0871671438217163,567996800,1.0158286225795743,68.74286922683412,0.0454401368169783,0.0330562051914858,0.0123839316254924,1.0214344587055604,65.31804463020005,1.2333966503397735,1.0950124531984329,0.956628256057092,0,0.07022464618963782,77.642614808772,65.12284222003379,395991680.0,368142880.0,373536240.0
1.2678569555282593,1.3426339626312256,1.25,1.261718988418579,1.0654903650283811,562564800,1.024500502347946,65.64353427686957,0.0526550739107747,0.0369759789353436,0.0156790949754311,1.0308573814394042,67.52483877154741,1.259255481991752,1.1066684514284133,0.9540814208650747,0,0.07182531164975124,71.40678903063937,62.98502876317751,432884480.0,396727520.0,382842880.0
1.2717629671096802,1.285156011581421,1.2098209857940674,1.238281011581421,1.0456976890563965,446913600,1.0336969220638277,62.856838208388766,0.0558380484227702,0.0407483928328289,0.0150896555899413,1.0389916414449736,59.96080836875507,1.2715293414240687,1.119307953119278,0.9670865648144872,1,0.07207600551672282,65.77898090981036,61.06319072961145,461258560.0,416558240.0,392731360.0
1.228795051574707,1.292410969734192,1.2220979928970337,1.246093988418579,1.0522955656051636,279182400,1.0413420224189758,63.414394847650414,0.0583187582476936,0.0442624659158018,0.0140562923318917,1.0471133021106052,65.28138337123266,1.2843360496725955,1.1310546040534972,0.9777731584343988,0,0.07195007489675391,66.79669161328763,61.47463585315668,476197120.0,414080800.0,390274080.0
1.2254459857940674,1.2678569555282593,1.224329948425293,1.2421879768371582,1.048997163772583,202966400,1.0482505214214326,62.90599683570319,0.0592861424202959,0.0472672012167007,0.0120189412035952,1.0547632893547838,65.73435538447072,1.2942108399720789,1.1419921040534973,0.9897733681349156,0,0.06991985576862622,65.6578022814352,61.13551738598271,411924800.0,391519520.0,381974320.0
1.244420051574707,1.244977951049805,1.1948939561843872,1.213727951049805,1.0249632596969604,239836800,1.0539648199081422,59.18294559241652,0.0570981234907761,0.0492333856715158,0.0078647378192603,1.060997197656549,60.80235036627867,1.2996869767265926,1.144503301382065,0.9893196260375372,0,0.06850300856125419,57.34628331361643,58.6598763081824,346292800.0,371142240.0,340116000.0
1.192522048950195,1.229352951049805,1.119977951049805,1.1227680444717407,0.9481499195098876,414400000,1.0573911607265472,49.16722765162452,0.0474771118561128,0.0488821309084352,-0.0014050190523223,1.0634195838061646,54.332286615450215,1.2996552736729383,1.1461774051189422,0.9926995365649458,1,0.0714224365211646,38.95768269332457,51.64206476130295,316659840.0,374772160.0,345273040.0
1.1378350257873535,1.2254459857940674,1.125,1.2126120328903198,1.0240211486816406,404633600,1.0613755404949188,56.92193476283364,0.0465652743312221,0.0484187595929926,-0.0018534852617704,1.0692702680839747,60.64650471562361,1.3058295124868993,1.1496651589870452,0.9935008054871912,0,0.07365497257839047,55.42770557016248,56.97984671363112,308203840.0,384731200.0,349336400.0
